Gemeinde,Year,Abschnitt,Betrag in Euro
adlwang,2007,Allgemeinbildender Unterricht,585724.16
adlwang,2007,Vorschulische Erziehung,265297.58
adlwang,2007,Außerschulische Jugenerziehung,54450.38
adlwang,2007,Sport und außerschulische Leibeserziehung,13957.11
adlwang,2007,Berufsb. Unterricht,13776.25
adlwang,2007,Förderung des Unterrichtes,12545.39
adlwang,2007,Erwachsenenbildung,200.00
adlwang,2007,Summe,945950.87
adlwang,2008,Allgemeinbildender Unterricht,623852.96
adlwang,2008,Vorschulische Erziehung,307802.34
adlwang,2008,Außerschulische Jugenerziehung,58810.86
adlwang,2008,Berufsb. Unterricht,14439.34
adlwang,2008,Sport und außerschulische Leibeserziehung,13337.39
adlwang,2008,Förderung des Unterrichtes,11166.36
adlwang,2008,Erwachsenenbildung,200.00
adlwang,2008,Summe,1029609.25
adlwang,2009,Allgemeinbildender Unterricht,520724.99
adlwang,2009,Vorschulische Erziehung,363138.28
adlwang,2009,Außerschulische Jugenerziehung,44586.43
adlwang,2009,Berufsb. Unterricht,17291.46
adlwang,2009,Sport und außerschulische Leibeserziehung,12273.17
adlwang,2009,Förderung des Unterrichtes,11441.40
adlwang,2009,Erwachsenenbildung,200.00
adlwang,2009,Summe,969655.73
adlwang,2010,Vorschulische Erziehung,386290.98
adlwang,2010,Allgemeinbildender Unterricht,178740.08
adlwang,2010,Außerschulische Jugenerziehung,45115.38
adlwang,2010,Berufsb. Unterricht,15745.68
adlwang,2010,Förderung des Unterrichtes,14901.62
adlwang,2010,Sport und außerschulische Leibeserziehung,13560.19
adlwang,2010,Erwachsenenbildung,200.00
adlwang,2010,Summe,654553.93
adlwang,2011,Allgemeinbildender Unterricht,588111.13
adlwang,2011,Vorschulische Erziehung,432334.00
adlwang,2011,Außerschulische Jugenerziehung,51310.07
adlwang,2011,Förderung des Unterrichtes,14306.86
adlwang,2011,Sport und außerschulische Leibeserziehung,13607.34
adlwang,2011,Berufsb. Unterricht,10107.66
adlwang,2011,Erwachsenenbildung,200.00
adlwang,2011,Summe,1109977.06
adlwang,2012,Vorschulische Erziehung,409713.03
adlwang,2012,Allgemeinbildender Unterricht,354138.33
adlwang,2012,Außerschulische Jugenerziehung,70288.42
adlwang,2012,Förderung des Unterrichtes,16877.62
adlwang,2012,Sport und außerschulische Leibeserziehung,14524.80
adlwang,2012,Berufsb. Unterricht,10816.83
adlwang,2012,Erwachsenenbildung,220.00
adlwang,2012,Summe,876579.03
adlwang,2013,Allgemeinbildender Unterricht,560164.99
adlwang,2013,Vorschulische Erziehung,430242.14
adlwang,2013,Außerschulische Jugenerziehung,70136.64
adlwang,2013,Sport und außerschulische Leibeserziehung,16568.76
adlwang,2013,Förderung des Unterrichtes,16426.17
adlwang,2013,Berufsb. Unterricht,8077.20
adlwang,2013,Erwachsenenbildung,220.00
adlwang,2013,Summe,1101835.9
adlwang,2014,Vorschulische Erziehung,398174.85
adlwang,2014,Allgemeinbildender Unterricht,318232.96
adlwang,2014,Außerschulische Jugenerziehung,77811.49
adlwang,2014,Förderung des Unterrichtes,16619.55
adlwang,2014,Sport und außerschulische Leibeserziehung,13695.63
adlwang,2014,Berufsb. Unterricht,10221.85
adlwang,2014,Erwachsenenbildung,0.00
adlwang,2014,Summe,834756.33
adlwang,2015,Vorschulische Erziehung,446638.15
adlwang,2015,Allgemeinbildender Unterricht,257435.75
adlwang,2015,Außerschulische Jugenerziehung,87873.50
adlwang,2015,Förderung des Unterrichtes,17206.37
adlwang,2015,Sport und außerschulische Leibeserziehung,14721.51
adlwang,2015,Berufsb. Unterricht,11662.90
adlwang,2015,Erwachsenenbildung,200.00
adlwang,2015,Summe,835738.18
adlwang,2016,Vorschulische Erziehung,528325.71
adlwang,2016,Allgemeinbildender Unterricht,175464.09
adlwang,2016,Außerschulische Jugenerziehung,63402.40
adlwang,2016,Berufsb. Unterricht,19809.42
adlwang,2016,Förderung des Unterrichtes,18980.22
adlwang,2016,Sport und außerschulische Leibeserziehung,14932.64
adlwang,2016,Erwachsenenbildung,200.00
adlwang,2016,Summe,821114.48
adlwang,2017,Vorschulische Erziehung,638050.98
adlwang,2017,Allgemeinbildender Unterricht,176222.32
adlwang,2017,Außerschulische Jugenerziehung,73076.19
adlwang,2017,Sport und außerschulische Leibeserziehung,41234.30
adlwang,2017,Berufsb. Unterricht,23344.54
adlwang,2017,Förderung des Unterrichtes,22015.84
adlwang,2017,Forschung und Wissenschaft,2400.00
adlwang,2017,Summe,976344.17
adlwang,2018,Vorschulische Erziehung,596177.87
adlwang,2018,Allgemeinbildender Unterricht,146028.87
adlwang,2018,Außerschulische Jugenerziehung,74080.96
adlwang,2018,Sport und außerschulische Leibeserziehung,54243.46
adlwang,2018,Berufsb. Unterricht,32206.40
adlwang,2018,Förderung des Unterrichtes,19485.99
adlwang,2018,Forschung und Wissenschaft,2250.00
adlwang,2018,Summe,924473.55
adlwang,2019,Vorschulische Erziehung,625178.65
adlwang,2019,Allgemeinbildender Unterricht,177051.96
adlwang,2019,Außerschulische Jugenerziehung,90994.40
adlwang,2019,Sport und außerschulische Leibeserziehung,29775.66
adlwang,2019,Förderung des Unterrichtes,19560.89
adlwang,2019,Berufsb. Unterricht,8922.91
adlwang,2019,Forschung und Wissenschaft,2325.00
adlwang,2019,Erwachsenenbildung,0.00
adlwang,2019,Summe,953809.47
aichkirchen,2007,Vorschulische Erziehung,58090.99
aichkirchen,2007,Allgemeinbildender Unterricht,39891.81
aichkirchen,2007,Sport und außerschulische Leibeserziehung,2780.58
aichkirchen,2007,Förderung des Unterrichtes,444.45
aichkirchen,2007,Außerschulische Jugenerziehung,294.88
aichkirchen,2007,Erwachsenenbildung,75.00
aichkirchen,2007,Summe,101577.71
aichkirchen,2008,Vorschulische Erziehung,71171.33
aichkirchen,2008,Sport und außerschulische Leibeserziehung,66447.87
aichkirchen,2008,Allgemeinbildender Unterricht,41541.86
aichkirchen,2008,Förderung des Unterrichtes,696.25
aichkirchen,2008,Außerschulische Jugenerziehung,83.70
aichkirchen,2008,Erwachsenenbildung,75.00
aichkirchen,2008,Summe,180016.01
aichkirchen,2009,Allgemeinbildender Unterricht,144309.79
aichkirchen,2009,Vorschulische Erziehung,138991.11
aichkirchen,2009,Sport und außerschulische Leibeserziehung,18402.24
aichkirchen,2009,Förderung des Unterrichtes,477.62
aichkirchen,2009,Erwachsenenbildung,100.00
aichkirchen,2009,Außerschulische Jugenerziehung,87.67
aichkirchen,2009,Summe,302368.43
aichkirchen,2010,Allgemeinbildender Unterricht,167414.80
aichkirchen,2010,Vorschulische Erziehung,158912.72
aichkirchen,2010,Sport und außerschulische Leibeserziehung,3360.15
aichkirchen,2010,Förderung des Unterrichtes,628.00
aichkirchen,2010,Außerschulische Jugenerziehung,87.67
aichkirchen,2010,Erwachsenenbildung,75.00
aichkirchen,2010,Summe,330478.34
aichkirchen,2011,Allgemeinbildender Unterricht,164207.44
aichkirchen,2011,Vorschulische Erziehung,134688.29
aichkirchen,2011,Sport und außerschulische Leibeserziehung,4228.52
aichkirchen,2011,Förderung des Unterrichtes,601.00
aichkirchen,2011,Außerschulische Jugenerziehung,90.33
aichkirchen,2011,Erwachsenenbildung,75.00
aichkirchen,2011,Summe,303890.58
aichkirchen,2012,Vorschulische Erziehung,140107.80
aichkirchen,2012,Allgemeinbildender Unterricht,82582.72
aichkirchen,2012,Sport und außerschulische Leibeserziehung,2692.92
aichkirchen,2012,Förderung des Unterrichtes,677.00
aichkirchen,2012,Außerschulische Jugenerziehung,90.33
aichkirchen,2012,Erwachsenenbildung,75.00
aichkirchen,2012,Summe,226225.77
aichkirchen,2013,Vorschulische Erziehung,368595.97
aichkirchen,2013,Allgemeinbildender Unterricht,55513.71
aichkirchen,2013,Sport und außerschulische Leibeserziehung,2804.09
aichkirchen,2013,Förderung des Unterrichtes,1254.00
aichkirchen,2013,Außerschulische Jugenerziehung,94.32
aichkirchen,2013,Erwachsenenbildung,75.00
aichkirchen,2013,Summe,428337.09
aichkirchen,2014,Vorschulische Erziehung,319909.59
aichkirchen,2014,Allgemeinbildender Unterricht,67597.61
aichkirchen,2014,Sport und außerschulische Leibeserziehung,2434.99
aichkirchen,2014,Förderung des Unterrichtes,1102.00
aichkirchen,2014,Berufsb. Unterricht,706.95
aichkirchen,2014,Außerschulische Jugenerziehung,94.32
aichkirchen,2014,Erwachsenenbildung,75.00
aichkirchen,2014,Summe,391920.46
aichkirchen,2015,Vorschulische Erziehung,266635.48
aichkirchen,2015,Allgemeinbildender Unterricht,71126.03
aichkirchen,2015,Sport und außerschulische Leibeserziehung,2628.37
aichkirchen,2015,Förderung des Unterrichtes,1230.00
aichkirchen,2015,Berufsb. Unterricht,741.95
aichkirchen,2015,Außerschulische Jugenerziehung,97.32
aichkirchen,2015,Erwachsenenbildung,75.00
aichkirchen,2015,Summe,342534.15
aichkirchen,2016,Vorschulische Erziehung,218562.09
aichkirchen,2016,Allgemeinbildender Unterricht,73227.73
aichkirchen,2016,Sport und außerschulische Leibeserziehung,4403.44
aichkirchen,2016,Förderung des Unterrichtes,995.00
aichkirchen,2016,Berufsb. Unterricht,504.63
aichkirchen,2016,Außerschulische Jugenerziehung,97.32
aichkirchen,2016,Erwachsenenbildung,75.00
aichkirchen,2016,Summe,297865.21
aichkirchen,2017,Vorschulische Erziehung,223880.69
aichkirchen,2017,Allgemeinbildender Unterricht,82776.77
aichkirchen,2017,Sport und außerschulische Leibeserziehung,2529.17
aichkirchen,2017,Förderung des Unterrichtes,1335.00
aichkirchen,2017,Berufsb. Unterricht,683.34
aichkirchen,2017,Außerschulische Jugenerziehung,137.16
aichkirchen,2017,Erwachsenenbildung,100.00
aichkirchen,2017,Summe,311442.13
aichkirchen,2018,Vorschulische Erziehung,208595.81
aichkirchen,2018,Allgemeinbildender Unterricht,94433.58
