Gemeinde,Year,View,Abschnitt,Betrag in Euro
adlwang,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",560.06564239195
adlwang,2007,prokopf,Summe,2124.0532800474
adlwang,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",604.58558426307
adlwang,2008,prokopf,Summe,2183.6411450382
adlwang,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",572.74408151211
adlwang,2009,prokopf,Summe,2156.690507974
adlwang,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",390.07981525626
adlwang,2010,prokopf,Summe,2018.6516686532
adlwang,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",659.91501783591
adlwang,2011,prokopf,Summe,2332.1020095125
adlwang,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",522.70663685152
adlwang,2012,prokopf,Summe,2615.4148062016
adlwang,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",654.29685273159
adlwang,2013,prokopf,Summe,2925.8939786223
adlwang,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",488.73321428571
adlwang,2014,prokopf,Summe,2404.9803688525
adlwang,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",479.20767201835
adlwang,2015,prokopf,Summe,2818.4204873853
adlwang,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",461.5595727937
adlwang,2016,prokopf,Summe,2888.9991512085
adlwang,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",547.27812219731
adlwang,2017,prokopf,Summe,3060.6178699552
adlwang,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",511.89011627907
adlwang,2018,prokopf,Summe,2631.1625083056
adlwang,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",508.4272228145
adlwang,2019,prokopf,Summe,2670.8557142857
aichkirchen,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",201.94375745527
aichkirchen,2007,prokopf,Summe,1824.1220477137
aichkirchen,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",362.93550403226
aichkirchen,2008,prokopf,Summe,2002.5033669355
aichkirchen,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",571.58493383743
aichkirchen,2009,prokopf,Summe,2012.8725519849
aichkirchen,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",628.28581749049
aichkirchen,2010,prokopf,Summe,2424.9820912548
aichkirchen,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",566.96003731343
aichkirchen,2011,prokopf,Summe,2424.6948880597
aichkirchen,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",416.6220441989
aichkirchen,2012,prokopf,Summe,2134.7530570902
aichkirchen,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",774.56978300181
aichkirchen,2013,prokopf,Summe,2337.4745207957
aichkirchen,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",693.66453097345
aichkirchen,2014,prokopf,Summe,2345.2921238938
aichkirchen,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",608.40879218472
aichkirchen,2015,prokopf,Summe,2494.8611367673
aichkirchen,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",529.06786856128
aichkirchen,2016,prokopf,Summe,2289.558294849
aichkirchen,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",541.63848695652
aichkirchen,2017,prokopf,Summe,2213.4729565217
aichkirchen,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",529.34591065292
aichkirchen,2018,prokopf,Summe,2533.4580584192
aichkirchen,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",530.39026936027
aichkirchen,2019,prokopf,Summe,2550.8104545455
aigen-schlägl,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",402.39375425565
aigen-schlägl,2007,prokopf,Summe,2119.3928319406
aigen-schlägl,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",472.4659269576
aigen-schlägl,2008,prokopf,Summe,2348.5172237697
aigen-schlägl,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",505.69707234825
aigen-schlägl,2009,prokopf,Summe,2231.7653372164
aigen-schlägl,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",421.01366563467
aigen-schlägl,2010,prokopf,Summe,2137.7284643963
aigen-schlägl,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",354.9296571958
aigen-schlägl,2011,prokopf,Summe,2267.1505095738
aigen-schlägl,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",384.90535158681
aigen-schlägl,2012,prokopf,Summe,2301.0509831985
aigen-schlägl,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",406.43459119497
aigen-schlägl,2013,prokopf,Summe,2484.4865283019
aigen-schlägl,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",552.20124282983
aigen-schlägl,2014,prokopf,Summe,2990.099789675
aigen-schlägl,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",235.3251285347
aigen-schlägl,2015,prokopf,Summe,1893.1427345758
aigen-schlägl,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",400.78357620108
aigen-schlägl,2016,prokopf,Summe,2598.9897741012
aigen-schlägl,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",520.68130721003
aigen-schlägl,2017,prokopf,Summe,3124.0829780564
aigen-schlägl,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",1279.6176930262
aigen-schlägl,2018,prokopf,Summe,3404.7181662516
