NUTS2;COMMUNE_CODE;COMMUNE_NAME;YEAR;EDU_COMPULSORY_SCH;EDU_APPRENTICESHIP;EDU_INTERMED_TECHN_VOCAT_SCH;EDU_ACADEM_SECOND_SCH;EDU_HIGHER_TECHN_VOCAT_SCH;EDU_POST_SECOND_COURSE_COLLEGES;EDU_UNIVERSITY_FACHHOCHSCHULE;EDU_NOT_APPLICABLE;EDU_TOTAL
AT31;40101;Linz;2022;51812;49302;17961;13536;12603;3940;31711;28948;209813
AT31;40201;Steyr;2022;9926;10837;4662;1389;2216;743;3179;4971;37923
AT31;40301;Wels;2022;18414;17038;6147;2859;3598;1017;5361;9830;64264
AT31;40401;Altheim;2022;1244;1627;645;112;339;96;277;719;5059
AT31;40402;Aspach;2022;627;820;383;60;160;45;116;415;2626
AT31;40403;Auerbach;2022;153;258;95;29;55;9;44;160;803
AT31;40404;Braunau am Inn;2022;5327;4480;2035;530;1169;344;1206;2489;17580
AT31;40405;Burgkirchen;2022;602;866;407;53;205;50;150;438;2771
AT31;40406;Eggelsberg;2022;616;876;367;65;218;41;191;398;2772
AT31;40407;Feldkirchen bei Mattighofen;2022;496;686;285;52;114;39;120;357;2149
AT31;40408;Franking;2022;237;322;136;28;102;15;62;122;1024
AT31;40409;Geretsberg;2022;292;361;161;21;87;17;43;194;1176
AT31;40410;Gilgenberg am Weilhart;2022;334;429;208;15;77;17;66;209;1355
AT31;40411;Haigermoos;2022;118;193;75;27;48;12;50;104;627
AT31;40412;Handenberg;2022;329;372;201;22;118;21;68;216;1347
AT31;40413;Helpfau-Uttendorf;2022;1296;1129;413;70;205;43;135;621;3912
AT31;40414;Hochburg-Ach;2022;691;967;533;92;305;56;249;523;3416
AT31;40415;Höhnhart;2022;390;473;204;24;75;24;61;240;1491
AT31;40416;Jeging;2022;190;259;102;18;53;7;42;123;794
AT31;40417;Kirchberg bei Mattighofen;2022;229;373;173;31;102;21;104;216;1249
AT31;40418;Lengau;2022;1108;1780;560;141;299;79;257;851;5075
AT31;40419;Lochen am See;2022;503;964;391;83;229;43;234;514;2961
AT31;40420;Maria Schmolln;2022;406;426;204;25;107;25;81;191;1465
AT31;40421;Mattighofen;2022;2572;1894;639;203;398;106;319;1247;7378
AT31;40422;Mauerkirchen;2022;864;802;290;50;140;41;118;408;2713
AT31;40423;Mining;2022;224;352;208;38;121;34;112;217;1306
AT31;40424;Moosbach;2022;274;345;151;23;67;12;54;208;1134
AT31;40425;Moosdorf;2022;423;614;209;56;113;19;80;264;1778
AT31;40426;Munderfing;2022;659;983;366;89;222;68;187;474;3048
AT31;40427;Neukirchen an der Enknach;2022;532;712;336;43;174;30;113;380;2320
AT31;40428;Ostermiething;2022;866;1000;436;93;289;47;187;516;3434
AT31;40429;Palting;2022;186;369;158;44;94;22;108;190;1171
AT31;40430;Perwang am Grabensee;2022;190;322;155;45;85;24;105;182;1108
AT31;40431;Pfaffstätt;2022;336;389;116;41;79;18;75;190;1244
AT31;40432;Pischelsdorf am Engelbach;2022;456;585;220;28;106;21;63;261;1740
AT31;40433;Polling im Innkreis;2022;239;295;158;14;60;12;46;173;997
AT31;40434;Roßbach;2022;209;301;147;13;46;17;38;118;889
AT31;40435;St. Georgen am Fillmannsbach;2022;105;141;56;8;39;4;28;74;455
AT31;40436;St. Johann am Walde;2022;574;688;236;46;124;27;80;278;2053
AT31;40437;St. Pantaleon;2022;804;954;414;87;226;49;186;492;3212
AT31;40438;St. Peter am Hart;2022;499;677;404;90;195;64;206;357;2492
AT31;40439;St. Radegund;2022;131;190;87;11;59;15;56;110;659
AT31;40440;St. Veit im Innkreis;2022;89;134;57;3;31;6;13;68;401
AT31;40441;Schalchen;2022;1052;1317;447;93;280;69;221;645;4124
AT31;40442;Schwand im Innkreis;2022;198;297;152;26;92;13;72;195;1045
AT31;40443;Tarsdorf;2022;517;645;321;42;165;36;108;302;2136
AT31;40444;Treubach;2022;178;218;127;11;51;11;26;124;746
AT31;40445;Überackern;2022;159;210;107;21;64;9;51;81;702
AT31;40446;Weng im Innkreis;2022;298;479;243;30;119;18;60;200;1447
AT31;40501;Alkoven;2022;1120;1847;706;264;451;131;616;1037;6172
AT31;40502;Aschach an der Donau;2022;565;642;248;99;123;51;184;357;2269
AT31;40503;Eferding;2022;1165;1225;435;152;231;64;322;696;4290
AT31;40504;Fraham;2022;487;793;292;95;191;59;183;429;2529
AT31;40505;Haibach ob der Donau;2022;300;423;164;26;96;23;88;178;1298
