NUTS2;LAU2_CODE;LAU2_NAME;YEAR;NATION_AUSTRIA;NATION_EU;NATION_FORMER_YUGOSLAVIA;NATION_TURKEY;NATION_OTHERS;NATION_TOTAL
AT31;40101;Linz;2023;149892;24596;12808;3956;20692;211944
AT31;40201;Steyr;2023;29122;3639;2300;968;2005;38034
AT31;40301;Wels;2023;43398;9731;6438;1761;3959;65287
AT31;40401;Altheim;2023;4158;640;172;21;64;5055
AT31;40402;Aspach;2023;2354;262;19;2;13;2650
AT31;40403;Auerbach;2023;702;80;40;0;10;832
AT31;40404;Braunau am Inn;2023;12259;2695;1214;200;1260;17628
AT31;40405;Burgkirchen;2023;2395;286;74;2;17;2774
AT31;40406;Eggelsberg;2023;2422;406;40;9;64;2941
AT31;40407;Feldkirchen bei Mattighofen;2023;1976;138;19;1;11;2145
AT31;40408;Franking;2023;906;107;5;2;4;1024
AT31;40409;Geretsberg;2023;1086;104;1;0;4;1195
AT31;40410;Gilgenberg am Weilhart;2023;1158;137;8;0;19;1322
AT31;40411;Haigermoos;2023;596;40;0;0;5;641
AT31;40412;Handenberg;2023;1232;94;9;0;11;1346
AT31;40413;Helpfau-Uttendorf;2023;2757;793;232;23;67;3872
AT31;40414;Hochburg-Ach;2023;2456;862;22;6;59;3405
AT31;40415;Höhnhart;2023;1360;100;3;0;12;1475
AT31;40416;Jeging;2023;665;100;21;8;2;796
AT31;40417;Kirchberg bei Mattighofen;2023;1192;72;4;12;11;1291
AT31;40418;Lengau;2023;4372;458;171;61;65;5127
AT31;40419;Lochen am See;2023;2787;141;13;12;23;2976
AT31;40420;Maria Schmolln;2023;1371;62;5;2;25;1465
AT31;40421;Mattighofen;2023;4446;1625;1138;150;258;7617
AT31;40422;Mauerkirchen;2023;1885;533;235;3;71;2727
AT31;40423;Mining;2023;1197;92;2;2;13;1306
AT31;40424;Moosbach;2023;941;160;22;0;23;1146
AT31;40425;Moosdorf;2023;1511;208;14;0;23;1756
AT31;40426;Munderfing;2023;2594;279;82;14;37;3006
AT31;40427;Neukirchen an der Enknach;2023;2071;188;35;2;34;2330
AT31;40428;Ostermiething;2023;2865;402;89;9;42;3407
AT31;40429;Palting;2023;1175;61;13;5;10;1264
AT31;40430;Perwang am Grabensee;2023;1034;85;3;1;6;1129
AT31;40431;Pfaffstätt;2023;948;271;48;12;3;1282
AT31;40432;Pischelsdorf am Engelbach;2023;1529;203;27;2;20;1781
AT31;40433;Polling im Innkreis;2023;913;58;6;0;13;990
AT31;40434;Roßbach;2023;831;45;6;4;2;888
AT31;40435;St. Georgen am Fillmannsbach;2023;438;30;1;2;1;472
AT31;40436;St. Johann am Walde;2023;1902;141;4;1;13;2061
AT31;40437;St. Pantaleon;2023;2652;334;163;11;88;3248
AT31;40438;St. Peter am Hart;2023;2168;304;18;16;74;2580
AT31;40439;St. Radegund;2023;574;98;3;0;3;678
AT31;40440;St. Veit im Innkreis;2023;370;25;0;0;0;395
AT31;40441;Schalchen;2023;3332;449;291;26;56;4154
AT31;40442;Schwand im Innkreis;2023;947;85;1;1;8;1042
AT31;40443;Tarsdorf;2023;1914;209;19;1;5;2148
AT31;40444;Treubach;2023;669;79;13;0;5;766
AT31;40445;Überackern;2023;477;211;0;0;2;690
AT31;40446;Weng im Innkreis;2023;1315;91;23;0;26;1455
AT31;40501;Alkoven;2023;5596;281;124;33;148;6182
AT31;40502;Aschach an der Donau;2023;1837;129;177;6;94;2243
AT31;40503;Eferding;2023;3304;322;431;23;210;4290
AT31;40504;Fraham;2023;2358;110;95;5;43;2611
AT31;40505;Haibach ob der Donau;2023;1235;30;6;0;7;1278
AT31;40506;Hartkirchen;2023;3798;65;66;2;33;3964
AT31;40507;Hinzenbach;2023;1907;51;79;2;24;2063
