Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,SPÖ,ÖVP,GRÜNE,FPÖ,BZÖ,RETTÖ,LIF,KPÖ,DC,LINKE,FRITZ
40000,Land Oberösterreich,1088438,892455,81.99,24677,867778,264315,232153,85970,165139,78901,8162,11437,5386,7361,359,8595
40099,Wahlkarten Oberösterreich,0,48,0.0,48,0,0,0,0,0,0,0,0,0,0,0,0
4A000,Wahlkreis Linz und Umgebung,245598,194043,79.01,3690,190353,71676,34969,23588,34949,15481,1655,3680,1451,1171,108,1625
4A099,Wahlkarten Linz und Umgebung,0,3549,0.0,54,3495,899,826,754,468,282,21,157,28,16,1,43
4B000,Wahlkreis Innviertel,165085,130511,79.06,4115,126396,29720,40590,9734,28801,12047,1469,1069,613,955,48,1350
4B099,Wahlkarten Innviertel,0,1043,0.0,26,1017,137,302,282,115,104,11,36,8,10,2,10
4C000,Wahlkreis Hausruckviertel,266391,220102,82.62,6321,213781,61132,56972,19743,45644,20324,2034,2535,1215,2009,73,2100
4C099,Wahlkarten Hausruckviertel,0,2170,0.0,36,2134,413,579,527,284,174,17,85,12,16,1,26
4D000,Wahlkreis Traunviertel,197634,163130,82.54,4404,158726,52620,39792,15345,26902,15979,1514,2088,1117,1481,56,1832
4D099,Wahlkarten Traunviertel,0,1813,0.0,28,1785,351,450,446,216,178,12,69,18,21,2,22
4E000,Wahlkreis Mühlviertel,213730,184621,86.38,6099,178522,49167,59830,17560,28843,15070,1490,2065,990,1745,74,1688
4E099,Wahlkarten Mühlviertel,0,2020,0.0,56,1964,472,504,467,229,131,19,69,26,19,2,26
40100,Stadt Linz,142125,105490,74.22,1843,103647,40297,17101,14361,18457,7824,834,2293,962,580,73,865
40101,Linz,142125,96209,67.69,1713,94496,37496,14890,12599,17328,7232,754,1946,880,521,62,788
40199,Wahlkarten Linz,0,9281,0.0,130,9151,2801,2211,1762,1129,592,80,347,82,59,11,77
40200,Stadt Steyr                         ,28962,22172,76.56,446,21726,9406,3108,2213,3975,1979,187,362,172,111,10,203
40201,Steyr             ,28962,20765,71.7,430,20335,8937,2771,1989,3828,1872,170,301,163,103,9,192
40299,Wahlkarten Steyr                         ,0,1407,0.0,16,1391,469,337,224,147,107,17,61,9,8,1,11
40300,Stadt Wels                          ,40994,30856,75.27,543,30313,10846,5163,3325,6480,3135,183,526,218,189,13,235
40301,Wels,40994,28803,70.26,515,28288,10280,4628,2984,6186,2967,170,458,208,180,13,214
40399,Wahlkarten Wels                          ,0,2053,0.0,28,2025,566,535,341,294,168,13,68,10,9,0,21
40400,Bezirk Braunau am Inn                ,74829,56828,75.94,1871,54957,14130,16235,4338,11804,6034,653,491,265,376,24,607
40401,Altheim                       ,3873,2892,74.67,82,2810,860,630,169,735,305,32,17,3,30,2,27
40402,Aspach                        ,1869,1390,74.37,44,1346,250,566,59,302,105,16,16,2,11,1,18
40403,Auerbach                      ,411,310,75.43,9,301,38,129,27,75,21,2,1,0,5,0,3
40404,Braunau am Inn                ,12539,8091,64.53,190,7901,2723,1291,859,1836,836,101,81,53,44,1,76
40405,Burgkirchen                   ,2036,1477,72.54,53,1424,307,527,115,269,162,13,13,5,2,0,11
40406,Eggelsberg                    ,1670,1096,65.63,61,1035,218,336,82,191,150,19,10,8,6,0,15
40407,Feldkirchen bei Mattighofen   ,1499,1106,73.78,32,1074,180,400,70,245,134,12,2,5,11,1,14
40408,Franking                      ,670,493,73.58,23,470,70,185,28,111,44,2,10,4,2,0,14
40409,Geretsberg                    ,820,551,67.2,26,525,98,209,41,107,51,3,2,2,3,0,9
40410,Gilgenberg am Weilhart        ,978,670,68.51,22,648,92,275,25,125,107,6,4,5,1,0,8
40411,Haigermoos                    ,480,340,70.83,9,331,56,136,32,71,24,2,3,0,1,0,6
40412,Handenberg                    ,1033,743,71.93,25,718,123,318,32,125,84,8,0,6,15,0,7
40413,Helpfau-Uttendorf             ,2406,1714,71.24,72,1642,426,489,84,400,183,17,14,8,5,3,13
40414,Hochburg-Ach                  ,2268,1514,66.75,55,1459,285,572,119,243,170,24,13,11,7,1,14
40415,Höhnhart                      ,1117,796,71.26,30,766,172,282,29,195,66,3,1,4,9,1,4
40416,Jeging,483,390,80.75,11,379,106,116,12,79,45,5,2,5,3,0,6
40417,Kirchberg bei Mattighofen     ,860,667,77.56,25,642,81,252,40,155,86,3,5,5,5,0,10
40418,Lengau                        ,3422,2553,74.61,115,2438,804,512,177,550,288,31,23,13,17,1,22
40419,Lochen                        ,1931,1446,74.88,53,1393,220,523,109,291,187,16,15,6,10,0,16
40420,Maria Schmolln                ,1111,823,74.08,37,786,155,330,52,144,75,6,2,3,13,1,5
40421,Mattighofen                   ,3662,2512,68.6,54,2458,951,437,196,499,277,23,20,16,17,1,21
40422,Mauerkirchen                  ,1638,1100,67.16,28,1072,337,236,70,283,102,11,12,6,7,0,8
40423,Mining                        ,933,701,75.13,29,672,153,233,62,132,70,6,8,1,2,0,5
40424,Moosbach                      ,737,534,72.46,19,515,61,176,24,174,63,9,2,0,1,0,5
40425,Moosdorf                      ,1211,842,69.53,46,796,267,202,62,158,70,7,5,6,6,0,13
40426,Munderfing                    ,2072,1547,74.66,57,1490,435,458,95,265,165,26,15,4,9,1,17
40427,Neukirchen an der Enknach     ,1680,1225,72.92,27,1198,247,382,78,294,134,22,7,5,15,0,14
40428,Ostermiething                 ,2341,1513,64.63,60,1453,313,486,112,269,203,19,9,3,9,0,30
40429,Palting                       ,725,541,74.62,15,526,92,224,42,86,64,8,3,0,3,0,4
40430,Perwang am Grabensee          ,624,477,76.44,14,463,89,162,35,94,60,3,9,5,2,0,4
40431,Pfaffstätt                    ,752,547,72.74,16,531,139,152,28,100,85,7,6,2,4,0,8
40432,Pischelsdorf am Engelbach     ,1264,935,73.97,30,905,133,374,37,226,101,7,8,3,6,0,10
40433,Polling im Innkreis           ,716,556,77.65,17,539,136,206,18,123,32,5,3,3,2,1,10
40434,Roßbach                       ,772,595,77.07,25,570,152,211,14,141,37,6,1,2,2,0,4
40435,St.Georgen am Fillmannsbach   ,312,251,80.45,9,242,23,70,7,99,34,2,1,1,5,0,0
40436,St.Johann am Walde            ,1696,1275,75.18,67,1208,385,343,77,245,121,8,1,4,10,0,14
40437,St.Pantaleon                  ,2346,1652,70.42,50,1602,533,375,139,318,165,24,15,10,8,0,15
40438,St.Peter am Hart              ,1845,1299,70.41,59,1240,336,341,114,264,132,17,15,5,6,0,10
40439,St.Radegund                   ,465,359,77.2,12,347,33,205,28,26,38,4,5,3,2,1,2
40440,St.Veit im Innkreis           ,331,264,79.76,5,259,71,82,6,73,20,1,2,0,2,0,2
40441,Schalchen                     ,2815,2000,71.05,67,1933,597,435,165,388,256,19,23,13,14,0,23
40442,Schwand im Innkreis           ,681,517,75.92,12,505,75,222,31,110,49,6,1,3,3,1,4
