Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,PIRAT,KPÖ,CPÖ,WANDL
40000,Land Oberösterreich,1099182,861015,78.33,21615,839400,228293,212843,180041,29700,102003,40379,28604,6757,6277,2946,1557
40099,Wahlkarten Oberösterreich,0,38,0.0,38,0,0,0,0,0,0,0,0,0,0,0,0
4A000,Wahlkreis Linz und Umgebung,246452,184582,74.9,3574,181008,59874,30807,36909,5407,27136,8490,8107,1561,2013,384,320
4A099,Wahlkarten Linz und Umgebung,0,1225,0.0,20,1205,216,266,134,41,347,46,108,22,20,2,3
4B000,Wahlkreis Innviertel,166320,125787,75.63,3379,122408,26429,37107,31077,5291,11312,5784,3161,858,639,461,289
4B099,Wahlkarten Innviertel,0,377,0.0,6,371,41,78,53,17,121,15,33,7,4,1,1
4C000,Wahlkreis Hausruckviertel,270686,213976,79.05,5394,208582,53584,52181,50470,7346,24013,10168,6722,1739,1261,746,352
4C099,Wahlkarten Hausruckviertel,0,700,0.0,16,684,93,159,81,34,206,15,67,15,12,0,2
4D000,Wahlkreis Traunviertel,197859,155837,78.76,3856,151981,44797,34894,30988,6101,18391,8100,5351,1226,1197,647,289
4D099,Wahlkarten Traunviertel,0,625,0.0,5,620,88,119,73,27,186,31,67,14,12,1,2
4E000,Wahlkreis Mühlviertel,217865,180795,82.98,5374,175421,43609,57854,30597,5555,21151,7837,5263,1373,1167,708,307
4E099,Wahlkarten Mühlviertel,0,659,0.0,9,650,96,139,88,12,205,29,51,15,13,0,2
40100,Stadt Linz,140809,100357,71.27,1895,98462,33229,14959,19092,2755,16826,4191,4705,920,1405,202,178
40101,Linz,140809,87131,61.88,1671,85460,29562,12349,17409,2463,13674,3702,3986,792,1216,167,140
40199,Wahlkarten Linz,0,13226,0.0,224,13002,3667,2610,1683,292,3152,489,719,128,189,35,38
40200,Stadt Steyr                         ,28386,20630,72.68,387,20243,7764,2501,4382,653,2609,1152,735,152,205,54,36
40201,Steyr             ,28386,18660,65.74,345,18315,7125,2107,4144,611,2198,1068,649,147,190,51,25
40299,Wahlkarten Steyr                         ,0,1970,0.0,42,1928,639,394,238,42,411,84,86,5,15,3,11
40300,Stadt Wels                          ,40671,29490,72.51,451,29039,9434,4171,7857,963,3651,1330,1066,221,230,68,48
40301,Wels,40671,26608,65.42,411,26197,8613,3625,7365,894,3048,1199,942,201,206,62,42
40399,Wahlkarten Wels                          ,0,2882,0.0,40,2842,821,546,492,69,603,131,124,20,24,6,6
40400,Bezirk Braunau am Inn                ,75446,54847,72.7,1555,53292,12739,15262,13426,1891,5053,2651,1365,369,277,181,78
40401,Altheim                       ,3806,2642,69.42,82,2560,732,595,751,93,187,115,60,11,9,6,1
