Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,SPÖ,ÖVP,FPÖ,GRÜNE,leer,NEOS,PILZ,GILT,KPÖ,FLÖ,SLP,WEIßE
40000,Oberösterreich,1103664,902801,81.8,10726,892075,246201,280595,239444,32792,0,42556,32772,9141,5426,854,183,2111
40099,Wahlkarten Oberösterreich,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A000,Linz und Umgebung,247049,193848,78.47,1716,192132,67233,46210,46052,8686,0,10399,8928,2130,1981,151,55,307
49019,Wahlkarten Linz und Umgebung,0,1272,0.0,7,1265,334,321,179,119,0,153,118,15,14,3,0,9
4B000,Innviertel,167093,133837,80.1,1631,132206,27052,47826,42573,3880,0,5256,3583,1100,500,165,21,250
49029,Wahlkarten Innviertel,0,425,0.0,1,424,85,94,73,37,0,68,46,10,11,0,0,0
4C000,Hausruckviertel,272358,223714,82.14,2713,221001,56535,69393,64579,7752,0,10521,7946,2093,1073,220,33,856
49039,Wahlkarten Hausruckviertel,0,866,0.0,7,859,231,174,133,100,0,106,79,13,19,2,0,2
4D000,Traunviertel,197375,162625,82.39,2039,160586,48205,47753,42052,5409,0,7716,6138,1853,870,147,43,400
49049,Wahlkarten Traunviertel,0,717,0.0,13,704,181,164,103,84,0,73,68,9,19,0,0,3
4E000,Mühlviertel,219789,188777,85.89,2627,186150,47176,69413,44188,7065,0,8664,6177,1965,1002,171,31,298
49059,Wahlkarten Mühlviertel,0,750,0.0,7,743,191,176,100,75,0,75,96,16,11,1,1,1
40100,Linz,140037,105235,75.15,909,104326,38840,22811,23067,5574,0,5637,5438,1195,1506,71,38,149
40101,Linz,140037,85255,60.88,790,84465,31985,17705,20055,3943,0,4235,4228,954,1166,51,25,118
40199,Wahlkarten Linz,0,19980,0.0,119,19861,6855,5106,3012,1631,0,1402,1210,241,340,20,13,31
40200,Steyr,27423,21073,76.84,195,20878,8371,3919,5635,764,0,828,909,247,154,12,5,34
40201,Steyr,27423,18213,66.42,183,18030,7344,3163,5135,591,0,657,757,205,132,11,4,31
40299,Wahlkarten Steyr,0,2860,0.0,12,2848,1027,756,500,173,0,171,152,42,22,1,1,3
40300,Wels,39623,29572,74.63,293,29279,9881,6500,8698,1125,0,1423,1147,242,197,24,6,36
40301,Wels,39623,25053,63.23,259,24794,8523,5249,7654,861,0,1148,937,201,165,21,5,30
40399,Wahlkarten Wels,0,4519,0.0,34,4485,1358,1251,1044,264,0,275,210,41,32,3,1,6
40400,Braunau am Inn,75992,59011,77.65,739,58272,12742,20322,18513,1629,0,2317,1800,506,227,99,2,115
40401,Altheim,3753,2589,68.98,36,2553,661,715,921,54,0,108,73,10,4,1,0,6
40402,Aspach,1983,1295,65.31,19,1276,191,524,448,26,0,37,32,9,6,0,0,3
40403,Auerbach,434,332,76.5,4,328,38,139,123,7,0,9,5,5,2,0,0,0
40404,Braunau am Inn,11864,6927,58.39,75,6852,2184,1506,2229,234,0,287,282,63,41,15,1,10
40405,Burgkirchen,2069,1472,71.15,26,1446,252,613,438,42,0,45,37,11,4,1,0,3
40406,Eggelsberg,1804,1191,66.02,18,1173,171,427,423,56,0,53,25,9,3,3,0,3
40407,Feldkirchen bei Mattighofen,1582,1132,71.55,16,1116,165,429,441,19,0,34,17,5,3,3,0,0
40408,Franking,720,486,67.5,8,478,72,194,163,8,0,20,14,2,1,0,0,4
40409,Geretsberg,878,620,70.62,9,611,81,258,203,12,0,24,19,11,2,0,0,1
40410,Gilgenberg am Weilhart,1031,701,67.99,12,689,70,309,248,7,0,29,20,3,2,1,0,0
40411,Haigermoos,476,336,70.59,2,334,53,155,89,8,0,9,15,5,0,0,0,0
40412,Handenberg,1027,747,72.74,9,738,105,340,227,8,0,14,33,5,3,2,0,1
40413,Helpfau-Uttendorf,2381,1539,64.64,21,1518,282,553,544,25,0,56,29,16,10,1,1,1
40414,Hochburg-Ach,2207,1409,63.84,12,1397,261,648,323,44,0,62,31,15,6,3,0,4
40415,Höhnhart,1119,694,62.02,10,684,110,284,256,3,0,15,12,3,1,0,0,0
40416,Jeging,507,368,72.58,3,365,65,145,124,4,0,12,5,5,4,1,0,0
40417,Kirchberg bei Mattighofen,926,646,69.76,10,636,80,271,214,20,0,33,13,4,1,0,0,0
40418,Lengau,3592,2508,69.82,48,2460,659,725,794,55,0,89,92,28,5,6,0,7
40419,Lochen,2195,1577,71.85,14,1563,237,637,507,34,0,72,43,22,7,2,0,2
40420,Maria Schmolln,1184,774,65.37,18,756,118,347,214,12,0,34,22,4,3,0,0,2
40421,Mattighofen,3704,2308,62.31,34,2274,684,599,725,54,0,98,86,12,8,0,0,8
40422,Mauerkirchen,1671,978,58.53,13,965,255,253,364,20,0,37,20,12,2,2,0,0
40423,Mining,965,704,72.95,8,696,127,296,193,16,0,17,36,10,1,0,0,0
40424,Moosbach,769,550,71.52,5,545,82,169,241,18,0,20,11,2,0,2,0,0
40425,Moosdorf,1266,888,70.14,16,872,254,273,271,12,0,29,20,5,4,3,0,1
