Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,ÖVP,SPÖ,FPÖ,NEOS,JETZT,GRÜNE,KPÖ,SLP,WANDL
40000,Oberösterreich,1104436,858039,77.69,12943,845096,310611,187173,147873,61853,12451,115983,4750,310,4092
40099,Wahlkarten Oberösterreich,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0
4A000,Linz und Umgebung,245789,181540,73.86,2029,179511,49869,49991,27420,15369,3357,31023,1389,93,1000
49019,Wahlkarten Linz und Umgebung,0,1110,0.0,5,1105,252,169,93,171,31,377,6,0,6
4B000,Innviertel,167189,126764,75.82,1865,124899,54648,19734,27322,7663,1465,12882,605,26,554
49029,Wahlkarten Innviertel,0,379,0.0,3,376,75,49,37,69,10,124,4,0,8
4C000,Hausruckviertel,273379,213202,77.99,3510,209692,77480,43537,40697,15508,3044,27377,1009,58,982
49039,Wahlkarten Hausruckviertel,0,662,0.0,8,654,145,68,56,102,26,247,5,0,5
4D000,Traunviertel,197070,154052,78.17,2399,151653,53475,38208,25233,10620,2351,20074,856,65,771
49049,Wahlkarten Traunviertel,0,608,0.0,4,604,140,75,62,88,22,199,8,0,10
4E000,Mühlviertel,221009,182480,82.57,3139,179341,75139,35703,27201,12693,2234,24627,891,68,785
49059,Wahlkarten Mühlviertel,0,609,0.0,9,600,136,71,57,78,24,227,4,2,1
40100,Linz,138154,97157,70.33,957,96200,24043,27416,13464,8201,2066,19356,968,64,622
40101,Linz,138154,73739,53.37,800,72939,18256,21794,11252,5561,1682,13188,738,50,418
40199,Wahlkarten Linz,0,23418,0.0,157,23261,5787,5622,2212,2640,384,6168,230,14,204
40200,Steyr,27006,19588,72.53,243,19345,4573,6975,3300,1101,362,2770,155,9,100
40201,Steyr,27006,16521,61.18,226,16295,3774,6058,2959,835,309,2137,133,9,81
40299,Wahlkarten Steyr,0,3067,0.0,17,3050,799,917,341,266,53,633,22,0,19
40300,Wels,39157,27272,69.65,369,26903,7339,7651,5322,2020,412,3853,171,6,129
40301,Wels,39157,22631,57.8,342,22289,5923,6614,4636,1559,360,2929,156,5,107
40399,Wahlkarten Wels,0,4641,0.0,27,4614,1416,1037,686,461,52,924,15,1,22
40400,Braunau,76045,55816,73.4,865,54951,23970,9335,11462,3349,734,5529,289,17,266
40401,Altheim,3770,2356,62.49,42,2314,885,478,599,121,26,179,11,1,14
40402,Aspach,1998,1176,58.86,16,1160,594,140,293,43,14,69,5,0,2
40403,Auerbach,449,312,69.49,5,307,148,20,91,17,2,28,1,0,0
40404,Braunau am Inn,11603,6271,54.05,85,6186,1960,1555,1220,349,127,898,31,3,43
40405,Burgkirchen,2080,1326,63.75,21,1305,621,179,290,71,12,124,4,0,4
40406,Eggelsberg,1852,1095,59.13,19,1076,485,140,256,79,13,88,8,0,7
40407,Feldkirchen bei Mattighofen,1604,1074,66.96,15,1059,513,101,300,39,8,91,2,0,5
40408,Franking,780,440,56.41,7,433,212,40,88,29,8,50,4,0,2
40409,Geretsberg,873,550,63.0,6,544,289,51,120,39,4,35,3,0,3
40410,Gilgenberg am Weilhart,1041,658,63.21,6,652,345,56,161,42,2,42,1,0,3
40411,Haigermoos,486,327,67.28,5,322,174,36,60,14,6,30,2,0,0
40412,Handenberg,1024,691,67.48,14,677,369,62,135,38,8,54,6,0,5
40413,Helpfau-Uttendorf,2369,1411,59.56,22,1389,631,231,326,73,32,83,7,0,6
40414,Hochburg-Ach,2211,1329,60.11,21,1308,739,151,187,77,11,132,5,2,4
40415,Höhnhart,1113,645,57.95,11,634,302,109,164,16,4,37,2,0,0
40416,Jeging,511,357,69.86,13,344,180,47,80,17,3,14,2,0,1
40417,Kirchberg bei Mattighofen,932,618,66.31,11,607,338,48,136,39,9,35,1,0,1
40418,Lengau,3611,2243,62.12,64,2179,927,480,445,108,28,158,18,1,14
40419,Lochen,2183,1480,67.8,28,1452,725,145,331,94,17,120,10,0,10
40420,Maria Schmolln,1180,735,62.29,10,725,407,77,123,34,10,66,4,0,4
40421,Mattighofen,3753,2094,55.8,33,2061,699,544,451,116,32,201,11,2,5
40422,Mauerkirchen,1645,845,51.37,7,838,300,175,210,72,11,62,4,1,3
40423,Mining,982,616,62.73,4,612,290,96,109,35,5,74,1,0,2
40424,Moosbach,773,499,64.55,10,489,207,50,165,25,4,35,1,1,1
40425,Moosdorf,1295,823,63.55,13,810,309,205,187,30,11,61,6,0,1
40426,Munderfing,2276,1416,62.21,34,1382,594,278,295,80,17,113,0,0,5
40427,Neukirchen an der Enknach,1748,1150,65.79,21,1129,530,165,270,66,10,78,4,0,6
40428,Ostermiething,2435,1413,58.03,31,1382,752,152,232,70,22,141,6,0,7
40429,Palting,796,514,64.57,11,503,278,45,117,26,5,29,2,0,1
40430,Perwang am Grabensee,783,510,65.13,3,507,263,41,102,38,4,54,2,0,3
40431,Pfaffstätt,784,523,66.71,7,516,246,90,87,39,9,39,3,1,2
40432,Pischelsdorf am Engelbach,1276,826,64.73,12,814,408,83,215,55,8,40,1,1,3
40433,Polling im Innkreis,767,479,62.45,11,468,221,61,144,15,4,20,3,0,0
40434,Roßbach,752,487,64.76,10,477,210,75,130,30,2,24,6,0,0
40435,St.Georgen am Fillmannsbach,343,236,68.8,3,233,104,11,93,8,5,10,1,0,1
40436,St.Johann am Walde,1639,987,60.22,18,969,405,214,221,45,6,73,5,0,0
40437,St.Pantaleon,2306,1357,58.85,20,1337,577,267,252,93,21,109,7,2,9
40438,St.Peter am Hart,1811,1020,56.32,17,1003,421,194,179,58,17,127,5,0,2
40439,St.Radegund,462,327,70.78,3,324,217,13,28,21,4,37,2,0,2
40440,St.Veit im Innkreis,319,223,69.91,4,219,103,48,51,8,1,7,0,0,1
40441,Schalchen,2872,1818,63.3,33,1785,742,386,354,105,20,162,10,1,5
40442,Schwand im Innkreis,767,503,65.58,7,496,264,51,101,27,3,47,1,0,2
40443,Tarsdorf,1632,1017,62.32,13,1004,587,82,200,41,11,78,4,0,1
40444,Treubach,574,344,59.93,4,340,181,20,90,25,1,18,3,0,2
40445,Ueberackern,441,250,56.69,1,249,130,36,53,11,4,15,0,0,0
40446,Weng im Innkreis,1144,705,61.63,12,693,296,100,201,31,4,60,0,0,1
40499,Wahlkarten Braunau am Inn,0,9740,0.0,102,9638,3792,1707,1520,840,149,1482,74,1,73
40500,Eferding,25869,20908,80.82,445,20463,7501,4454,4030,1494,274,2533,86,7,84
40501,Alkoven,4639,3273,70.55,45,3228,986,915,606,218,69,405,11,1,17
40502,Aschach an der Donau,1595,1018,63.82,14,1004,304,253,206,64,13,148,10,1,5
40503,Eferding,2927,1797,61.39,22,1775,605,447,323,139,24,221,8,1,7
40504,Fraham,1871,1170,62.53,16,1154,414,273,216,89,17,134,5,1,5
40505,Haibach ob der Donau,1095,743,67.85,14,729,337,163,123,41,2,61,1,0,1
40506,Hartkirchen,3384,2426,71.69,38,2388,940,426,567,164,20,256,8,0,7
40507,Hinzenbach,1620,1096,67.65,21,1075,424,236,202,70,16,120,5,0,2
40508,Prambachkirchen,2276,1473,64.72,22,1451,658,210,318,98,13,144,6,1,3
40509,Pupping,1455,981,67.42,10,971,366,191,228,52,16,111,6,0,1
40510,St.Marienkirchen an d. Polsenz,1899,1288,67.83,20,1268,472,278,272,83,15,140,6,0,2
40511,Scharten,1772,1229,69.36,19,1210,375,245,292,96,19,173,4,1,5
40512,Stroheim,1336,921,68.94,19,902,495,92,186,56,7,61,1,0,4
40599,Wahlkarten Eferding,0,3493,0.0,185,3308,1125,725,491,324,43,559,15,1,25
40600,Freistadt,53816,44628,82.93,851,43777,18623,9230,6770,2646,532,5525,245,22,184
40601,Freistadt,6134,4074,66.42,69,4005,1431,945,641,251,58,626,31,3,19
40602,Grünbach,1572,985,62.66,17,968,418,185,193,58,8,92,5,2,7
40603,Gutau,2237,1601,71.57,17,1584,719,372,238,51,20,173,4,0,7
40604,Hagenberg im Mühlkreis,2249,1455,64.7,20,1435,452,320,253,108,32,255,10,0,5
40605,Hirschbach im Mühlkreis,958,630,65.76,6,624,301,101,60,62,6,83,10,0,1
40606,Kaltenberg,499,425,85.17,4,421,304,20,65,21,0,11,0,0,0
40607,Kefermarkt,1713,1209,70.58,29,1180,492,293,194,54,8,125,9,1,4
40608,Königswiesen,2511,1730,68.9,30,1700,943,238,331,64,7,109,5,0,3
40609,Lasberg,2328,1640,70.45,32,1608,776,280,223,106,29,181,7,1,5
40610,Leopoldschlag,832,599,72.0,21,578,314,76,92,31,3,57,2,0,3
40611,Liebenau,1335,908,68.01,20,888,526,152,143,27,4,30,4,0,2
40612,Neumarkt im Mühlkreis,2581,1781,69.0,43,1738,712,361,239,113,25,258,18,0,12
40613,Pierbach,805,596,74.04,20,576,297,91,132,23,2,28,0,0,3
40614,Pregarten,4415,3012,68.22,55,2957,1107,733,522,181,33,357,12,3,9
40615,Rainbach im Mühlkreis,2349,1553,66.11,43,1510,722,300,183,92,17,175,12,1,8
40616,Sandl,1152,834,72.4,21,813,325,223,124,46,8,78,7,0,2
40617,St.Leonhard bei Freistadt,1153,816,70.77,13,803,400,188,120,25,8,51,5,0,6
40618,St.Oswald bei Freistadt,2328,1599,68.69,41,1558,679,379,285,73,23,104,4,0,11
40619,Schönau im Mühlkreis,1567,1199,76.52,27,1172,649,197,193,46,5,76,4,0,2
40620,Tragwein,2498,1803,72.18,27,1776,690,469,280,105,22,199,6,1,4
40621,Unterweißenbach,1775,1223,68.9,26,1197,670,166,241,43,4,68,3,0,2
40622,Unterweitersdorf,1757,1242,70.69,30,1212,396,367,179,84,21,152,4,0,9
40623,Waldburg,1120,762,68.04,7,755,331,136,109,55,14,101,3,1,5
40624,Wartberg ob der Aist,3516,2316,65.87,32,2284,769,563,397,138,32,356,19,1,9
40625,Weitersfelden,826,574,69.49,15,559,308,94,71,30,2,47,6,0,1
40626,Windhaag bei Freistadt,1263,863,68.33,22,841,453,159,91,49,3,82,2,1,1
40627,Bad Zell,2343,1693,72.26,43,1650,780,244,256,86,11,257,6,1,9
40699,Wahlkarten Freistadt,0,7506,0.0,121,7385,2659,1578,915,624,127,1394,47,6,35
40700,Gmunden,78454,60820,77.52,1068,59752,20878,15144,9327,4524,1029,8165,367,30,288
40701,Altmünster,7779,4960,63.76,112,4848,1857,1080,721,446,80,627,18,1,18
40702,Bad Goisern am Hallstättersee,6157,3730,60.58,102,3628,1023,1284,584,224,66,380,42,2,23
40703,Bad Ischl,10750,6076,56.52,117,5959,2043,1547,904,468,116,800,42,2,37
40704,Ebensee am Traunsee,6260,4085,65.26,80,4005,1234,1310,694,169,95,458,31,0,14
40705,Gmunden,9732,5449,55.99,78,5371,1926,1111,789,519,106,861,31,5,23
40706,Gosau,1427,927,64.96,36,891,310,339,110,56,14,53,3,1,5
40707,Grünau im Almtal,1622,1033,63.69,19,1014,376,256,210,60,14,88,4,1,5
40708,Gschwandt,2230,1532,68.7,21,1511,604,291,258,115,18,209,8,3,5
40709,Hallstatt,579,385,66.49,5,380,85,171,32,17,8,62,3,0,2
40710,Kirchham,1724,1120,64.97,24,1096,567,139,221,53,12,96,4,0,4
40711,Laakirchen,7075,4419,62.46,92,4327,1314,1422,768,251,82,446,25,3,16
40712,Obertraun,552,378,68.48,10,368,107,173,18,15,5,41,7,0,2
40713,Ohlsdorf,4074,2623,64.38,49,2574,908,612,512,157,34,321,19,3,8
40714,Pinsdorf,3018,1867,61.86,39,1828,602,457,376,131,34,210,13,1,4
40715,Roitham,1581,986,62.37,12,974,379,228,218,52,9,79,4,1,4
40716,St.Konrad,896,616,68.75,7,609,288,125,110,30,6,44,2,0,4
40717,St.Wolfgang im Salzkammergut,2126,1276,60.02,18,1258,633,274,157,51,22,108,9,0,4
40718,Traunkirchen,1351,833,61.66,12,821,349,175,78,55,16,141,3,0,4
40719,Scharnstein,3774,2361,62.56,41,2320,790,575,415,174,39,303,11,0,13
40720,Vorchdorf,5747,3810,66.3,54,3756,1328,822,771,259,52,494,14,1,15
40799,Wahlkarten Gmunden,0,12354,0.0,140,12214,4155,2753,1381,1222,201,2344,74,6,78
40800,Grieskirchen,50592,40380,79.81,710,39670,16571,6712,8057,2694,453,4854,146,10,173
40801,Aistersheim,714,441,61.76,10,431,161,58,125,31,2,49,1,0,4
40802,Bad Schallerbach,3086,1794,58.13,21,1773,598,388,371,161,24,214,10,0,7
40804,Eschenau im Hausruckkreis,897,663,73.91,18,645,385,56,137,23,2,39,1,1,1
40805,Gallspach,1838,1079,58.71,10,1069,359,233,297,60,8,103,3,0,6
40806,Gaspoltshofen,2842,1661,58.44,47,1614,594,251,422,125,29,178,6,1,8
40807,Geboltskirchen,1160,792,68.28,15,777,301,177,148,39,10,94,3,0,5
40808,Grieskirchen,3522,2160,61.33,36,2124,748,464,426,149,24,291,9,0,13
40809,Haag am Hausruck,1662,1080,64.98,14,1066,407,200,200,86,11,155,2,1,4
40810,Heiligenberg,569,449,78.91,4,445,275,21,94,23,1,29,2,0,0
40811,Hofkirchen an der Trattnach,1241,821,66.16,18,803,352,113,182,53,8,87,5,0,3
40812,Kallham,2060,1250,60.68,28,1222,538,215,256,60,10,133,6,1,3
40813,Kematen am Innbach,1079,726,67.28,15,711,261,117,216,41,14,60,2,0,0
40814,Meggenhofen,1187,785,66.13,22,763,361,102,121,62,8,103,3,0,3
40815,Michaelnbach,1034,637,61.61,14,623,356,72,107,28,8,50,1,0,1
40816,Natternbach,1870,1272,68.02,32,1240,596,230,247,51,10,99,2,1,4
40817,Neukirchen am Walde,1334,971,72.79,14,957,460,144,204,59,7,76,3,0,4
