Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,ÖVP,SPÖ,FPÖ,GRÜNE,NEOS,BIER,MFG,KPÖ,LMP,GAZA,KEINE
40000,Oberösterreich,1097771,878873,80.06,10620,868253,228759,176003,264515,71700,72630,16467,7283,17534,5041,2322,5999
40099,Wahlkarten Oberösterreich,0,18,0.0,18,0,0,0,0,0,0,0,0,0,0,0,0
4A000,Linz und Umgebung,240123,180523,75.18,1711,178812,37367,46783,46329,18417,17546,2967,1109,5339,1090,832,1033
4A099,Wahlkarten Linz und Umgebung,0,884,0.0,8,876,141,218,101,174,140,30,5,58,8,0,1
4B000,Innviertel,165943,131044,78.97,1658,129386,38724,18293,47535,8102,9058,2498,1291,2128,626,247,884
4B099,Wahlkarten Innviertel,0,231,0.0,1,230,29,47,36,49,42,6,4,12,4,0,1
4C000,Hausruckviertel,273190,218656,80.04,2841,215815,56396,41294,69815,16731,18229,4475,1718,3881,1236,624,1416
4C099,Wahlkarten Hausruckviertel,0,496,0.0,0,496,81,101,103,88,82,11,2,17,6,2,3
4D000,Traunviertel,195450,158234,80.96,1933,156301,38746,34768,47293,12724,12839,3066,1449,3080,948,350,1038
4D099,Wahlkarten Traunviertel,0,484,0.0,2,482,82,120,90,72,63,15,3,29,6,0,2
4E000,Mühlviertel,223065,190398,85.36,2459,187939,57526,34865,53543,15726,14958,3461,1716,3106,1141,269,1628
4E099,Wahlkarten Mühlviertel,0,443,0.0,1,442,63,105,80,85,64,6,6,24,5,1,3
40100,Linz,132345,94558,71.45,817,93741,17568,26634,21708,11347,9116,1522,567,3705,553,507,514
40101,Linz,132345,91281,68.97,793,90488,17062,25728,21291,10736,8626,1445,545,3533,533,495,494
40199,Wahlkarten Linz,0,3277,0.0,24,3253,506,906,417,611,490,77,22,172,20,12,20
40200,Steyr,25805,18904,73.26,193,18711,3099,5865,5554,1482,1352,328,128,587,92,92,132
40201,Steyr,25805,18536,71.83,189,18347,3046,5754,5490,1430,1305,319,125,571,91,91,125
40299,Wahlkarten Steyr,0,368,0.0,4,364,53,111,64,52,47,9,3,16,1,1,7
40300,Wels,37599,26028,69.23,250,25778,5134,6306,8184,2187,2216,399,135,698,130,246,143
40301,Wels,37599,25679,68.3,247,25432,5079,6208,8126,2131,2171,392,134,681,126,243,141
40399,Wahlkarten Wels,0,349,0.0,3,346,55,98,58,56,45,7,1,17,4,3,2
40400,Braunau,75749,58125,76.73,787,57338,16152,8595,21650,3378,3880,1109,604,1143,307,100,420
40401,Altheim,3617,2640,72.99,34,2606,604,468,1031,159,185,43,44,42,13,2,15
40402,Aspach,1984,1557,78.48,18,1539,549,155,613,62,83,26,13,19,4,2,13
40403,Auerbach,558,473,84.77,6,467,130,31,226,20,28,10,8,10,1,1,2
40404,Braunau am Inn,10875,7417,68.2,60,7357,1611,1580,2416,679,548,145,62,195,37,39,45
40405,Burgkirchen,2026,1534,75.72,24,1510,497,171,566,66,121,27,17,24,8,1,12
40406,Eggelsberg,2058,1511,73.42,22,1489,385,182,638,77,112,29,19,29,14,1,3
40407,Feldkirchen bei Mattighofen,1626,1286,79.09,23,1263,329,121,604,60,81,21,11,22,5,1,8
40408,Franking,799,615,76.97,6,609,184,70,224,28,44,8,14,24,5,0,8
40409,Geretsberg,916,652,71.18,9,643,221,69,248,32,34,9,11,10,6,0,3
40410,Gilgenberg am Weilhart,998,794,79.56,12,782,276,69,323,24,39,19,11,11,1,0,9
40411,Haigermoos,494,380,76.92,9,371,131,37,118,28,32,10,4,10,0,0,1
40412,Handenberg,1023,823,80.45,15,808,270,73,325,30,58,16,10,16,4,0,6
40413,Helpfau-Uttendorf,2334,1682,72.07,21,1661,584,222,624,52,88,23,14,33,5,2,14
40414,Hochburg-Ach,2104,1571,74.67,25,1546,531,222,460,110,106,35,21,27,18,2,14
40415,Höhnhart,1140,875,76.75,12,863,236,117,425,28,22,9,11,11,3,0,1
40416,Jeging,556,450,80.94,4,446,131,66,174,15,28,8,5,15,1,0,3
40417,Kirchberg bei Mattighofen,989,770,77.86,13,757,263,62,286,39,53,22,6,18,2,0,6
40418,Lengau,3648,2841,77.88,54,2787,647,530,1072,162,185,51,23,63,14,8,32
40419,Lochen,2279,1823,79.99,30,1793,536,213,677,88,143,50,21,33,16,1,15
40420,Maria Schmolln,1191,917,76.99,27,890,341,124,283,45,51,16,8,10,0,0,12
40421,Mattighofen,3771,2487,65.95,30,2457,590,486,895,175,149,56,20,44,12,14,16
40422,Mauerkirchen,1623,1093,67.34,13,1080,244,204,421,60,87,21,8,21,4,2,8
40423,Mining,1010,767,75.94,5,762,244,118,243,72,53,10,7,9,3,0,3
40424,Moosbach,778,577,74.16,7,570,152,54,277,21,45,7,5,6,1,1,1
40425,Moosdorf,1282,935,72.93,8,927,207,226,353,41,44,14,6,15,3,1,17
40426,Munderfing,2220,1671,75.27,18,1653,475,239,607,111,119,34,17,34,7,1,9
40427,Neukirchen an der Enknach,1716,1366,79.6,27,1339,409,179,537,50,94,19,14,17,7,4,9
40428,Ostermiething,2474,1766,71.38,33,1733,574,224,587,95,128,33,20,35,14,2,21
40429,Palting,990,702,70.91,13,689,243,64,248,45,53,13,6,9,5,0,3
40430,Perwang am Grabensee,858,643,74.94,7,636,174,86,267,36,42,4,2,16,3,0,6
40431,Pfaffstätt,791,647,81.8,13,634,172,85,255,38,49,8,4,16,3,0,4
40432,Pischelsdorf am Engelbach,1292,1040,80.5,14,1026,322,89,477,33,42,26,7,18,7,0,5
40433,Polling im Innkreis,752,610,81.12,12,598,167,75,269,28,26,11,5,11,4,0,2
40434,Roßbach,723,595,82.3,15,580,164,65,262,29,31,11,2,7,5,1,3
40435,St.Georgen am Fillmannsbach,361,293,81.16,2,291,89,19,155,8,12,4,0,1,0,0,3
40436,St.Johann am Walde,1629,1245,76.43,21,1224,350,167,531,54,57,23,9,18,6,0,9
40437,St.Pantaleon,2253,1666,73.95,18,1648,407,300,606,74,125,36,17,60,11,7,5
40438,St.Peter am Hart,1849,1435,77.61,12,1423,367,214,533,93,125,31,21,22,8,1,8
40439,St.Radegund,478,356,74.48,9,347,151,23,76,33,33,10,5,9,3,1,3
40440,St.Veit im Innkreis,318,268,84.28,6,262,82,47,106,12,9,1,1,4,0,0,0
40441,Schalchen,2846,2155,75.72,22,2133,508,400,778,150,136,49,36,47,12,3,14
40442,Schwand im Innkreis,772,621,80.44,7,614,190,62,251,32,34,14,9,10,5,1,6
