,Year,Municipality_ID,Municipality_Name,Wahlberechtigte,abgegebene_Stimmen,gueltige_Stimmen,Wahlbeteiligung,Winning_Party,Municipality_Lowercase,Spending_Summe
0,2008,40101,Linz,142125,96209,94496,67.69,SPÖ,linz,60176748.0
1,2008,40201,Steyr             ,28962,20765,20335,71.7,SPÖ,steyr,16889444.0
2,2008,40301,Wels,40994,28803,28288,70.26,SPÖ,wels,27539992.0
3,2008,40402,Aspach                        ,1869,1390,1346,74.37,ÖVP,aspach,716897.25
4,2008,40403,Auerbach                      ,411,310,301,75.43,ÖVP,auerbach,80000.6015625
5,2008,40404,Braunau am Inn                ,12539,8091,7901,64.53,SPÖ,braunau-am-inn,6667537.0
6,2008,40405,Burgkirchen                   ,2036,1477,1424,72.54,ÖVP,burgkirchen,1184581.375
7,2008,40406,Eggelsberg                    ,1670,1096,1035,65.63,ÖVP,eggelsberg,1207218.875
8,2008,40409,Geretsberg                    ,820,551,525,67.2,ÖVP,geretsberg,288982.25
9,2008,40410,Gilgenberg am Weilhart        ,978,670,648,68.51,ÖVP,gilgenberg-am-weilhart,320843.90625
10,2008,40411,Haigermoos                    ,480,340,331,70.83,ÖVP,haigermoos,151532.90625
11,2008,40414,Hochburg-Ach                  ,2268,1514,1459,66.75,ÖVP,hochburg-ach,650892.25
12,2008,40417,Kirchberg bei Mattighofen     ,860,667,642,77.56,ÖVP,kirchberg-bei-mattighofen,283749.375
13,2008,40418,Lengau                        ,3422,2553,2438,74.61,SPÖ,lengau,1928097.75
14,2008,40420,Maria Schmolln                ,1111,823,786,74.08,ÖVP,maria-schmolln,331418.28125
15,2008,40421,Mattighofen                   ,3662,2512,2458,68.6,SPÖ,mattighofen,3838396.5
16,2008,40422,Mauerkirchen                  ,1638,1100,1072,67.16,SPÖ,mauerkirchen,585611.1875
17,2008,40423,Mining                        ,933,701,672,75.13,ÖVP,mining,303548.9375
18,2008,40424,Moosbach                      ,737,534,515,72.46,ÖVP,moosbach,208002.0625
19,2008,40426,Munderfing                    ,2072,1547,1490,74.66,ÖVP,munderfing,904155.9375
20,2008,40428,Ostermiething                 ,2341,1513,1453,64.63,ÖVP,ostermiething,808267.75
21,2008,40429,Palting                       ,725,541,526,74.62,ÖVP,palting,208442.9375
22,2008,40430,Perwang am Grabensee          ,624,477,463,76.44,ÖVP,perwang-am-grabensee,649853.5
23,2008,40431,Pfaffstätt                    ,752,547,531,72.74,ÖVP,pfaffstätt,357873.09375
24,2008,40432,Pischelsdorf am Engelbach     ,1264,935,905,73.97,ÖVP,pischelsdorf-am-engelbach,429723.15625
25,2008,40442,Schwand im Innkreis           ,681,517,505,75.92,ÖVP,schwand-im-innkreis,157819.453125
26,2008,40443,Tarsdorf                      ,1578,1062,1010,67.3,ÖVP,tarsdorf,620974.9375
27,2008,40445,Überackern                    ,445,297,293,66.74,ÖVP,überackern,148559.859375
28,2008,40446,Weng im Innkreis              ,1115,816,784,73.18,ÖVP,weng-im-innkreis,431790.875
